play_id,character_chosen,Card_Name,floor,victory,Card_Picked_Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Searing Blow,1.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Perfected Strike,1.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Whirlwind,1.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,True Grit,5.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Seeing Red,5.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Anger,5.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Intimidate,6.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Uppercut,6.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Disarm,6.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Headbutt,8.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Clash,8.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Shrug It Off,8.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Headbutt,11.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Fire Breathing,11.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Searing Blow,11.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,SKIP,11.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Inflame,13.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Warcry,13.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Iron Wave,13.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Evolve,14.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Dropkick,14.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Fiend Fire,14.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Immolate,16.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Juggernaut,16.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Impervious,16.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Clothesline,18.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Burning Pact,18.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Infernal Blade,18.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,SKIP,18.0,True,Card Picked
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Cleave,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Dropkick,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Flex,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Seeing Red,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Shrug It Off,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Clash,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Warcry,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Body Slam,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Thunderclap,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Armaments,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Feel No Pain,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Infernal Blade,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,True Grit,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Heavy Blade,19.0,True,Card Skipped
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Inflame,19.0,True,Card Skipped
