run_id,run_date,character_chosen,floor_reached,neow_bonus,neow_cost,killed_by
932ad893-58b6-46d9-8c77-3b05cb71b3cd,2022-01-01,IRONCLAD,57,THREE_ENEMY_KILL,NONE,
552571f4-a742-4e79-8f1a-94bff813f3af,2022-01-05,IRONCLAD,57,ONE_RARE_RELIC,PERCENT_DAMAGE,
0e99c963-845f-4c3a-b8d8-4732c0ef8484,2022-01-06,IRONCLAD,57,RANDOM_COMMON_RELIC,NONE,
871692ed-1dc1-4566-b06d-515d565fc843,2022-01-08,IRONCLAD,57,RANDOM_COLORLESS_2,TEN_PERCENT_HP_LOSS,
90c31d4c-0648-4e2d-80cc-2a74ade22fab,2022-01-11,IRONCLAD,24,ONE_RARE_RELIC,TEN_PERCENT_HP_LOSS,Shelled Parasite and Fungi
3df262e3-f920-4ea2-b9cc-c31a22c3f780,2022-01-11,IRONCLAD,7,BOSS_RELIC,NONE,3 Sentries
50d09535-c1d6-4345-a387-ba55b2c445ec,2022-01-11,IRONCLAD,42,THREE_ENEMY_KILL,NONE,Jaw Worm Horde
347fc094-4914-4c0b-8f37-3d4e013997aa,2022-01-12,IRONCLAD,56,THREE_ENEMY_KILL,NONE,The Heart
87568b73-a56a-498f-b248-839a79a85e1c,2022-01-12,IRONCLAD,57,ONE_RARE_RELIC,TEN_PERCENT_HP_LOSS,
3d107bb1-40ef-4175-990a-437476e73421,2022-01-18,IRONCLAD,27,THREE_RARE_CARDS,NO_GOLD,3 Cultists
4a2e745d-fefe-4131-8893-56e994760056,2022-01-18,IRONCLAD,57,ONE_RARE_RELIC,TEN_PERCENT_HP_LOSS,
79b2f366-9151-46cb-b1ea-c927541db0df,2022-01-20,IRONCLAD,57,BOSS_RELIC,NONE,
86b5c7f2-38d3-43aa-81c6-25f83ad56115,2022-01-22,IRONCLAD,57,RANDOM_COLORLESS_2,TEN_PERCENT_HP_LOSS,
3486ec09-257d-42d7-b676-10c59f5e05f1,2022-01-27,IRONCLAD,57,ONE_RARE_RELIC,TEN_PERCENT_HP_LOSS,
4f7cfb97-52d2-4d21-8731-1708a36db9e2,2022-02-01,IRONCLAD,11,REMOVE_TWO,NO_GOLD,Gremlin Nob
87331d7d-8245-491f-8292-4025cd5b4c91,2022-02-01,IRONCLAD,16,TEN_PERCENT_HP_BONUS,NONE,The Guardian
49b7440f-db4c-4667-ae05-8db46ee82422,2022-02-01,IRONCLAD,23,UPGRADE_CARD,NONE,Book of Stabbing
